Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.28515748,41.67752436,3028,AEP,J257-1597,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,Yes,Yes,No,,AD BS,2004-07-23T00:00:00.000Z,10:44:29am,,,, ,159125.9943,2342468.43,,,,,,,J257-1597,,,Wood,4027,-3,,,,,
-86.28769076,41.67294706,3029,AEP,J257-0164,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,Yes,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:08:08am,,,, ,158421.9304,2340805.518,,,,,,,J257-0164,,,Wood,4028,-3,Existing,,,RBOYLES,2016-06-21T14:03:29.000Z
-86.2889697,41.67712662,3030,AEP,J257-1643,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:02:30am,,,, ,158083.5238,2342330.999,,,,,,,J257-1643,,,Wood,4029,-3,,,,,
-86.28771357,41.67354744,3031,AEP,J257-0165,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:09:10am,,,, ,158417.2767,2341024.33,,,,,,,J257-0165,,,Wood,4030,-3,Existing,,,RBOYLES,2016-06-21T14:03:14.000Z
-86.28771612,41.674047,3032,AEP,J257-0166,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:09:47am,,,, ,158417.8919,2341206.367,,,,,,,J257-0166,,,Wood,4031,-3,Existing,,,RBOYLES,2016-06-21T14:02:53.000Z
-86.28775487,41.67495133,3033,AEP,J257-0168,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:11:04am,,,, ,158409.6807,2341535.967,,,,,,,J257-0168,,,Wood,4032,-3,,,,,
-86.28567466,41.67894938,3034,AEP,J257-1688,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,02:20:15pm,,,, ,158988.44,2342988.698,,,,,,,J257-1688,,,Wood,4033,-3,,,,,
-86.28641741,41.6789628,3035,AEP,J257-1702,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:38:11am,,,, ,158785.5766,2342995.047,,,,,,,J257-1702,,,Wood,4034,-3,,,,,
-86.28504323,41.67815941,3036,AEP,J257-1715,Overhead,Yellow - H.P. Sodium,40 - 400 Watts,"D - 50,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,02:10:13pm,,,, ,159158.8649,2342699.605,,,,,,,J257-1715,,,Wood,4035,-3,,,,,
-86.28578826,41.67798035,3037,AEP,J257-1716,Overhead,Yellow - H.P. Sodium,20 - 200 Watts,"S - 22,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:42:18am,,,, ,158954.8704,2342635.821,,,,,,,J257-1716,,,Wood,4036,-3,,,,,
-86.2877873,41.67710462,3038,AEP,J257-0174,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:11:39am,,,, ,158406.4766,2342320.65,,,,,,,J257-0174,,,Wood,4037,-3,Existing,,,RBOYLES,2016-06-21T14:26:42.000Z
-86.28591012,41.67410242,3039,AEP,J257-0653,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:14:26am,,,, ,158911.4259,2341223.009,,,,,,,J257-0653,,,Wood,4038,-3,Existing,,,RBOYLES,2016-06-21T14:09:59.000Z
-86.28901183,41.67417226,3040,AEP,J257-0654,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:46:33am,,,, ,158064.2402,2341254.564,,,,,,,J257-0654,,,Wood,4039,-3,Existing,,,RBOYLES,2016-06-21T13:37:38.000Z
-86.29133909,41.67417771,3041,AEP,J257-0655,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:35:15am,,,, ,157428.4607,2341261.15,,,,,,,J257-0655,,,Wood,4040,-3,Existing,,,RBOYLES,2016-06-21T13:21:32.000Z
-86.29006841,41.67485445,3042,AEP,J257-0656,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:43:22am,,,, ,157777.387,2341505.23,,,,,,,J257-0656,,,Wood,4041,-3,Existing,,,RBOYLES,2016-06-21T13:24:42.000Z
-86.28624422,41.67769826,3043,AEP,J257-0754,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:31:39am,,,, ,158829.573,2342533.928,,,,,,,J257-0754,,,Wood,4042,-3,,,,,
-86.2862219,41.67786971,3044,AEP,J257-0755,Overhead,Blue - Mercury Vapor,40 - 400 Watts,"S - 22,000 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:32:49am,,,, ,158836.1202,2342596.36,,,,,,,J257-0755,,,Wood,4043,-3,,,,,
-86.28629605,41.67852577,3045,AEP,J257-0781,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:40:33am,,,, ,158817.5845,2342835.559,,,,,,,J257-0781,,,Wood,4044,-3,,,,,
-86.28579278,41.67572624,3046,AEP,J257-0948,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:23:52am,,,, ,158947.7346,2341814.472,,,,,,,J257-0948,,,Wood,4045,-3,Existing,,,RBOYLES,2016-06-21T14:07:11.000Z
-86.2924611,41.67568685,3047,AEP,J257-0980,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,09:53:52am,,,, ,157125.9256,2341813.28,,,,,,,J???-4046,J257,0,Wood,4046,-3,,,,,
-86.28695615,41.67646426,3048,AEP,J257-0986,Overhead,Yellow - H.P. Sodium,10 - 100 Watts,"K - 9,500 Lumens",No,No,No,No,,AD BS,2004-07-23T00:00:00.000Z,10:25:34am,,,, ,158631.8527,2342085.678,,,,,,,J257-0986,,,Wood,4047,-3,Existing,,,RBOYLES,2016-06-21T14:27:21.000Z
-86.285258,41.68645298,3049,AEP,J282-1231,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:00:55am,,,, ,159121.894,2345722.062,,,,,,,J282-1231,,,Wood,4048,-3,,,,,
-86.28516776,41.68470623,3050,AEP,J282-1349,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:53:57am,,,, ,159141.9736,2345085.401,,,,,,,J282-1349,,,Wood,4049,-3,,,,,
-86.28680651,41.684473,3051,AEP,J282-1441,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:08:30am,,,, ,158693.7358,2345003.634,,,,,,,J282-1441,,,Wood,4050,-3,,,,,
-86.28928315,41.68509719,3052,AEP,J282-1658,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:13:41am,,,, ,158018.8835,2345235.958,,,,,,,J282-1658,,,Wood,4051,-3,,,,,
-86.28734577,41.68468555,3053,AEP,J282-1694,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:09:50am,,,, ,158546.9946,2345082.142,,,,,,,J282-1694,,,Wood,4052,-3,,,,,
-86.28815735,41.68466151,3054,AEP,J282-1695,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:11:29am,,,, ,158325.2491,2345074.983,,,,,,,J282-1695,,,Wood,4053,-3,,,,,
-86.28582945,41.68642895,3055,AEP,J282-1697,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:59:53am,,,, ,158965.7432,2345714.431,,,,,,,J282-1697,,,Wood,4054,-3,,,,,
-86.28638978,41.68515737,3056,AEP,J282-0414,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,street light & utility pole,CB-JP,,10:55:52am,,,, ,158809.3611,2345252.185,,,,,,,J282-0414,,,Wood,4055,-3,,,,,
-86.28925162,41.68475166,3057,AEP,J282-0424,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:12:55am,,,, ,158026.5864,2345109.988,,,,,,,J282-0424,,,Wood,4056,-3,,,,,
-86.28642447,41.68478789,3058,AEP,J282-0425,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:55:04am,,,, ,158798.917,2345117.625,,,,,,,J282-0425,,,Wood,4057,-3,,,,,
-86.28646702,41.6864151,3059,AEP,J282-0427,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,10:58:53am,,,, ,158791.5584,2345710.633,,,,,,,J282-0427,,,Wood,4058,-3,,,,,
